Point,Time (s),Temperature (K),Amplitude (V),Phase (Degrees)
299,1.495360e+02,10.089948,1.918090e-04,8.382000
300,1.500430e+02,10.085493,1.917490e-04,8.388000
301,1.505410e+02,10.084854,1.917490e-04,8.388000
302,1.510400e+02,10.085398,1.917490e-04,8.382000
303,1.515420e+02,10.082834,1.917490e-04,8.388000
304,1.520400e+02,10.078587,1.916300e-04,8.376000
305,1.525420e+02,10.074363,1.915700e-04,8.382000
306,1.530420e+02,10.069443,1.914510e-04,8.388000
307,1.535350e+02,10.071329,1.914510e-04,8.376000
308,1.540480e+02,10.066918,1.915110e-04,8.376000
309,1.545380e+02,10.068192,1.913320e-04,8.382000
310,1.550410e+02,10.067945,1.914510e-04,8.376000
311,1.555410e+02,10.067342,1.915110e-04,8.376000
312,1.560400e+02,10.067196,1.914510e-04,8.376000
313,1.565400e+02,10.069525,1.915110e-04,8.376000
314,1.570400e+02,10.069662,1.916300e-04,8.382000
315,1.575400e+02,10.068452,1.915700e-04,8.370000
316,1.580400e+02,10.070844,1.915700e-04,8.382000
317,1.585410e+02,10.074481,1.916300e-04,8.376000
318,1.590370e+02,10.070928,1.916300e-04,8.376000
319,1.595370e+02,10.070133,1.916300e-04,8.382000
320,1.600370e+02,10.068355,1.915700e-04,8.382000
321,1.605370e+02,10.067108,1.915110e-04,8.376000
322,1.610400e+02,10.063661,1.914510e-04,8.376000
323,1.615400e+02,10.061891,1.913320e-04,8.382000
324,1.620410e+02,10.059177,1.912720e-04,8.382000
325,1.625340e+02,10.060090,1.913320e-04,8.382000
326,1.630460e+02,10.058342,1.913320e-04,8.382000
327,1.635390e+02,10.057158,1.912720e-04,8.376000
328,1.640450e+02,10.057700,1.912130e-04,8.382000
329,1.645380e+02,10.062319,1.913320e-04,8.382000
330,1.650390e+02,10.063542,1.911530e-04,8.706000
331,1.655400e+02,10.063278,1.911530e-04,8.616000
332,1.660400e+02,10.060266,1.912130e-04,8.478000
333,1.665400e+02,10.058750,1.912130e-04,8.418000
334,1.670400e+02,10.056479,1.911530e-04,8.388000
335,1.675430e+02,10.051841,1.910340e-04,8.382000
336,1.680400e+02,10.047690,1.906760e-04,8.382000
337,1.685430e+02,10.042886,1.898420e-04,8.382000
338,1.690410e+02,10.042661,1.897820e-04,8.382000
339,1.695370e+02,10.043272,1.903190e-04,8.376000
340,1.700360e+02,10.043700,1.906170e-04,8.376000
341,1.705360e+02,10.044178,1.907360e-04,8.382000
342,1.710390e+02,10.042229,1.907950e-04,8.376000
343,1.715410e+02,10.037523,1.897820e-04,8.382000
344,1.720450e+02,10.032321,1.881730e-04,8.382000
345,1.725380e+02,10.035299,1.875170e-04,8.382000
346,1.730400e+02,10.035035,1.891260e-04,8.376000
347,1.735400e+02,10.038069,1.898420e-04,8.376000
348,1.740400e+02,10.041407,1.904970e-04,8.376000
349,1.745410e+02,10.045482,1.909740e-04,8.382000
350,1.750370e+02,10.047720,1.910340e-04,8.376000
351,1.755360e+02,10.044609,1.910340e-04,8.376000
352,1.760370e+02,10.046481,1.908550e-04,8.388000
353,1.765380e+02,10.048180,1.909740e-04,8.376000
