Point,Time (s),Temperature (K),Amplitude (V),Phase (Degrees)
355,1.775380e+02,10.073601,1.915700e-04,8.382000
356,1.780380e+02,10.068702,1.915110e-04,8.382000
357,1.785370e+02,10.069790,1.914510e-04,8.376000
358,1.790420e+02,10.071742,1.915700e-04,8.382000
359,1.795420e+02,10.073427,1.916300e-04,8.382000
360,1.800430e+02,10.078570,1.916890e-04,8.376000
361,1.805430e+02,10.083895,1.917490e-04,8.382000
362,1.810370e+02,10.089678,1.918090e-04,8.382000
363,1.815360e+02,10.091703,1.918090e-04,8.382000
364,1.820410e+02,10.098138,1.918680e-04,8.382000
365,1.825530e+02,10.096340,1.918680e-04,8.382000
366,1.830410e+02,10.096915,1.918680e-04,8.382000
367,1.835390e+02,10.098480,1.918090e-04,8.382000
368,1.840410e+02,10.098084,1.918090e-04,8.382000
369,1.845370e+02,10.097037,1.918090e-04,8.382000
370,1.850370e+02,10.097805,1.918090e-04,8.382000
371,1.855410e+02,10.100139,1.918680e-04,8.382000
372,1.860370e+02,10.099124,1.918680e-04,8.382000
373,1.865370e+02,10.094294,1.918090e-04,8.382000
374,1.870370e+02,10.088515,1.917490e-04,8.388000
375,1.875430e+02,10.087496,1.916890e-04,8.376000
376,1.880380e+02,10.088483,1.917490e-04,8.388000
377,1.885400e+02,10.090783,1.917490e-04,8.382000
378,1.890370e+02,10.092110,1.918090e-04,8.382000
379,1.895420e+02,10.099572,1.918680e-04,8.382000
380,1.900410e+02,10.102058,1.918680e-04,8.376000
381,1.905430e+02,10.102169,1.918680e-04,8.376000
382,1.910410e+02,10.105738,1.918680e-04,8.382000
383,1.915400e+02,10.111575,1.918680e-04,8.376000
384,1.920430e+02,10.117635,1.918680e-04,8.376000
385,1.925420e+02,10.120541,1.919280e-04,8.376000
386,1.930370e+02,10.117273,1.919280e-04,8.376000
387,1.935430e+02,10.114729,1.918680e-04,8.376000
388,1.940370e+02,10.116414,1.918680e-04,8.376000
389,1.945370e+02,10.114948,1.918680e-04,8.376000
390,1.950430e+02,10.121288,1.919870e-04,8.388000
391,1.955400e+02,10.121037,1.919870e-04,8.388000
392,1.960370e+02,10.120988,1.919870e-04,8.388000
393,1.965360e+02,10.118661,1.919280e-04,8.376000
394,1.970380e+02,10.113460,1.918680e-04,8.376000
395,1.975370e+02,10.113254,1.918680e-04,8.382000
396,1.980370e+02,10.110430,1.918680e-04,8.382000
397,1.985370e+02,10.108260,1.918680e-04,8.382000
398,1.990370e+02,10.108129,1.918680e-04,8.382000
399,1.995390e+02,10.109286,1.918680e-04,8.382000
400,2.000500e+02,10.108868,1.918680e-04,8.376000
401,2.005380e+02,10.108980,1.918680e-04,8.376000
402,2.010380e+02,10.105713,1.918680e-04,8.376000
403,2.015410e+02,10.108808,1.918680e-04,8.382000
404,2.020430e+02,10.113581,1.918680e-04,8.376000
405,2.025410e+02,10.115330,1.918680e-04,8.376000
406,2.030430e+02,10.120838,1.919280e-04,8.376000
407,2.035420e+02,10.123672,1.919280e-04,8.376000
408,2.040400e+02,10.128677,1.919280e-04,8.376000
409,2.045410e+02,10.132201,1.919870e-04,8.376000
410,2.050420e+02,10.134515,1.919870e-04,8.388000
411,2.055370e+02,10.133035,1.919870e-04,8.376000
412,2.060370e+02,10.132200,1.919280e-04,8.376000
413,2.065410e+02,10.135360,1.919280e-04,8.376000
414,2.070400e+02,10.135581,1.919280e-04,8.376000
415,2.075420e+02,10.137112,1.919870e-04,8.376000
416,2.080360e+02,10.135221,1.919870e-04,8.376000
417,2.085360e+02,10.133221,1.919280e-04,8.376000
418,2.090490e+02,10.131691,1.919280e-04,8.376000
419,2.095360e+02,10.134706,1.919280e-04,8.376000
420,2.100380e+02,10.136747,1.919870e-04,8.388000
421,2.105380e+02,10.136372,1.919870e-04,8.388000
422,2.110410e+02,10.138839,1.919870e-04,8.376000
423,2.115370e+02,10.136404,1.919870e-04,8.376000
424,2.120370e+02,10.134479,1.919280e-04,8.376000
425,2.125380e+02,10.133695,1.919280e-04,8.376000
426,2.130420e+02,10.134053,1.919870e-04,8.376000
427,2.135390e+02,10.138339,1.919870e-04,8.376000
428,2.140400e+02,10.139141,1.919870e-04,8.388000
429,2.145430e+02,10.139133,1.919870e-04,8.376000
430,2.150410e+02,10.138124,1.919870e-04,8.376000
431,2.155370e+02,10.135604,1.919870e-04,8.388000
432,2.160410e+02,10.134190,1.919870e-04,8.388000
433,2.165430e+02,10.138390,1.919280e-04,8.376000
434,2.170400e+02,10.142002,1.919870e-04,8.376000
435,2.175430e+02,10.143028,1.919870e-04,8.388000
436,2.180410e+02,10.144593,1.919870e-04,8.376000
437,2.185460e+02,10.148294,1.919870e-04,8.388000
438,2.190400e+02,10.148351,1.919870e-04,8.388000
439,2.195390e+02,10.144663,1.919870e-04,8.388000
440,2.200410e+02,10.148912,1.919870e-04,8.388000
441,2.205400e+02,10.150663,1.919870e-04,8.388000
442,2.210400e+02,10.153773,1.919870e-04,8.388000
443,2.215420e+02,10.155383,1.919870e-04,8.388000
444,2.220370e+02,10.152993,1.919870e-04,8.388000
445,2.225370e+02,10.153568,1.919870e-04,8.388000
446,2.230370e+02,10.154593,1.919870e-04,8.388000
447,2.235380e+02,10.151836,1.919870e-04,8.376000
448,2.240370e+02,10.148470,1.919870e-04,8.388000
449,2.245370e+02,10.148343,1.919870e-04,8.388000
450,2.250450e+02,10.149328,1.919870e-04,8.376000
451,2.255370e+02,10.148579,1.919870e-04,8.376000
452,2.260360e+02,10.149782,1.919870e-04,8.376000
453,2.265450e+02,10.151288,1.919870e-04,8.376000
454,2.270430e+02,10.155954,1.919870e-04,8.388000
455,2.275420e+02,10.158110,1.919870e-04,8.376000
456,2.280410e+02,10.161121,1.919870e-04,8.376000
457,2.285420e+02,10.163309,1.920470e-04,8.382000
458,2.290410e+02,10.166903,1.920470e-04,8.382000
